Player,Yr.,Pos.,Old Team,New Team,Stats
Tobias Larsen,Fr,D,American Int'l,Bentley,"0-2—2, -1"
Easton Hesse,Sr,G,Lake Superior,Bentley,"6 gm, 3.08, .923"
Walter Zacher,So,F,Robert Morris,Canisius,"15-9—24, +3"
Rhys Chiddenton,So,F,Bemidji State,Canisius,"0-4—4, -2"
Joseph Messina,So,D,Union,Canisius,"1-3—4, +1"
Nick Strom,Sr,D,Rensselaer,Canisius,"0-1—1, 0"
Jack Pascucci,Jr,D,Connecticut,Canisius,"0-1—1, +2"
Josh Phillips,Sr,D,Union,Canisius,"0-1—1, -2"
Jason Gallucci,Fr,D,Penn State,Canisius,"0-0—0, +1"
Chase Clark,Sr,G,American Int'l,Canisius,"25 gm, 2.80, .913"
David Hymovitch,So,F,Arizona State,Holy Cross,"2-3—5, +1"
Noah Eyre,Fr,F,Quinnipiac,Holy Cross,"0-0—0, 0"
Tyler Haskins,Sr,F,Minnesota State,Mercyhurst,"0-0—0, 0"
Salvatore Evola,Jr,G,Bowling Green,Mercyhurst,"0 gm, 0.00, .000"
Nicholas Niemo,Sr,F,Maine,Niagara,"3-2—5, 0"
Hunter Wallace,Fr,F,Merrimack,Niagara,"2-0—2, +2"
Mitchell Becker,Jr,D,Mass.-Lowell,Niagara,"1-2—3, -5"
Austin Brimmer,Jr,F,Long Island,RIT,"9-12—21, +9"
Dario Beljo,So,F,American Int'l,Robert Morris,"11-9—20, -2"
Ryan Taylor,Jr,F,Clarkson,Robert Morris,"3-7—10, -9"
Rasmus Larsson,Fr,D,Northern Michigan,Robert Morris,"3-0—3, -9"
Max Wattvil,So,D,Merrimack,Robert Morris,"0-0—0, -3"
Lucas Massie,Fr,G,Union,Robert Morris,"2 gm, 5.73, .805"
Josh Barnes,Jr,F,American Int'l,Sacred Heart,"14-10—24, -14"
Ray Fust,Sr,F,Clarkson,Sacred Heart,"2-2—4, -3"
Ethan Wolthers,Jr,F,Western Michigan,Sacred Heart,"2-2—4, -1"
Noah Ellis,Jr,D,Omaha,Sacred Heart,"1-3—4, -10"
Chase Ramsay,So,D,Quinnipiac,Sacred Heart,"0-0—0, 0"
Liam Lesakowski,So,D,Maine,Sacred Heart,"0-0—0, +2"
Alexander Malinowski,Jr,F,American Int'l,Alaska,"0-8—8, -8"
Michael Citara,Sr,F,Merrimack,Alaska,"1-0—1, -1"
Zakari Brice,Fr,G,Arizona State,Alaska,"0 gm, 0.00, .000"
Luke Johnson,Jr,F,Alaska,Alaska Anchorage,"2-2—4, +1"
Henry Bartle,So,F,Michigan Tech,Alaska Anchorage,"1-2—3, -3"
Dominic Foglia,So,D,Colgate,Alaska Anchorage,"0-1—1, +5"
Ethan Elias,Fr,D,St. Thomas,Lindenwood,"0-5—5, -1"
Michael Bevilaqua,So,D,Bowling Green,Lindenwood,"0-0—0, 0"
Klayton Knapp,Fr,G,Minnesota-Duluth,Lindenwood,"16 gm, 2.67, .907"
Noah Serdachny,Sr,F,American Int'l,Long Island,"4-12—16, -10"
Brett Rylance,Jr,F,American Int'l,Long Island,"3-10—13, -1"
Casey McDonald,Jr,F,American Int'l,Long Island,"3-4—7, -2"
Trevor Griebel,Jr,D,Merrimack,Long Island,"1-4—5, -9"
Blake Dangos,Sr,D,American Int'l,Long Island,"1-2—3, -7"
Nate Benoit,Fr,D,Quinnipiac,Long Island,"0-2—2, +1"
Justin Mexico,Fr,F,American Int'l,Stonehill,"3-12—15, -3"
Matthew Romer,So,F,Northern Michigan,Stonehill,"5-3—8, -8"
Billy Renfrew,Fr,F,Northern Michigan,Stonehill,"1-2—3, -10"
David Posma,Jr,D,American Int'l,Stonehill,"2-7—9, -1"
Kyler Kleven,Gr,F,Niagara,Augsburg,"3-6—9, -4"
Mario Gasparini,So,D,Vermont,Augsburg,"0-1—1, -1"
Conor Ronayne,So,F,Stonehill,Aurora,"1-0—1, -1"
Jake LaRusso,So,F,Stonehill,Chatham,"0-0—0, -1"
Colby Browne,Fr,F,Northern Michigan,Colby,"0-1—1, -6"
Riley Rosenthal,Fr,D,Stonehill,Colby,"0-0—0, -2"
Bauer Swift,So,D,Connecticut,Hobart,"0-0—0, 0"
Edward Moskowitz,Fr,F,Holy Cross,Middlebury,"0-1—1, 0"
Tommy Bannister,Jr,F,Mercyhurst,Oswego,"0-0—0, 0"
Brendan Dumas,So,F,Sacred Heart,Trinity,"0-0—0, -2"
Alex Gomez,Jr,F,Alaska-Anchorage,Utica,"0-5—5, +5"
Hunter Longhi,So,F,American Int'l,Utica,"2-2—4, -1"
Nick Ahern,So,F,Vermont,Utica,"0-1—1, -1"
Tyler Procious,Fr,D,American Int'l,Utica,"1-5—6, -8"
Davis Goukler,Jr,D,Alaska-Anchorage,Utica,"1-2—3, -4"
Will Hilfiker,Jr,D,Alaska,Utica,"0-0—0, +5"
Nathan Sullivan,So,F,Rensselaer,British Columbia,"2-2—4, +1"
Quinn Disher,Fr,F,Michigan Tech,British Columbia,"0-0—0, 0"
Wolfgang Govedaris,Fr,D,Northern Michigan,British Columbia,"0-0—0, -9"
Dylan Meilun,Jr,G,Robert Morris,Carleton,"12 gm, 3.37, .890"
Brett Bamber,Sr,D,American Int'l,Grant MacEwan,"6-12—18, -19"
Cole Craft,Sr,F,Lake Superior,Guelph,"0-0—0, 0"
Justin Barker,So,F,Stonehill,Guelph,"0-0—0, -2"
Tanner Willick,Fr,D,American Int'l,Manitoba,"0-0—0, -2"
Cole Plowman,Fr,G,Alaska,Manitoba,"1 gm, 0.00, .000"
Jeremie Payant,So,F,Rensselaer,McGill,"3-3—6, -7"
Alexi Van Houtte-Cachero,Fr,F,Omaha,McGill,"0-0—0, -2"
Williyam Gendron,Fr,F,Sacred Heart,McGill,"0-0—0, 0"
Brett Moravec,So,F,Minnesota State,Mount Royal,"5-2—7, +3"
Tanner Komzak,So,D,North Dakota,Mount Royal,"0-0—0, +4"
Eli Barnett,So,D,Vermont,New Brunswick,"0-0—0, +6"
Mateo Dixon,So,F,Vermont,Queen's,"1-0—1, -4"
Rylee Hlusiak,So,F,Sacred Heart,Toronto,"1-1—2, -1"
Brandon Santa Juana,So,F,Bowling Green,Toronto,"0-0—0, -3"
Adam O'Marra,Fr,F,Robert Morris,Toronto Metro,"0-1—1, -3"
Dawson Smith,Fr,G,Robert Morris,York,"5 gm, 2.75, .908"
Jacob Vockler,Fr,F,Lindenwood,Arizona,"0-1—1, -5"
Aidan Carney,Jr,F,Maine,Liberty,"0-0—0, 0"
Johnny Wescoe,Jr,F,Niagara,Niagara,"1-2—3, -4"
Kaden Nelson,Fr,F,Michigan State,Oklahoma State,"0-0—0, 0"
J.R. Perdion,Fr,F,Long Island,,"4-14—18, +8"
Boris Skalos,So,F,Mercyhurst,,"5-9—14, -19"
Raimonds Vitolins,Sr,F,Miami,,"4-10—14, -13"
Ryan Duguay,Fr,F,Northern Michigan,,"6-2—8, -9"
Wilhelm Forsberg,Fr,F,American Int'l,,"1-5—6, 0"
Matt Corbet,Fr,F,Ferris State,,"2-3—5, -4"
Garrett Pinoniemi,Sr,F,Omaha,,"1-2—3, -5"
Will Schimek,Sr,D,Alaska-Anchorage,,"1-2—3, -9"
Alexander Tell,Fr,F,St. Thomas,,"1-2—3, -3"
Brendan Poshak,So,F,Northern Michigan,,"1-1—2, -9"
Evan Miller,Sr,F,RIT,,"1-1—2, -14"
Hunter Hastings,So,F,Stonehill,,"1-1—2, -4"
Alex Weiermair,So,F,Denver,,"0-2—2, +3"
Ryan Forberg,Fr,F,Lindenwood,,"0-2—2, -2"
