Clean_Player,Team,G,A,Pts,plus_minus,Sh,TOI_sec,PIM,FOW,FOL,Games_Played,FO%,TOI
Will Magnuson,Bemidji State,1,4,5,-10,22,37666.0,21,0.0,0.0,35,,10:27:46
Will Margel,Mercyhurst,6,6,12,-17,49,20393.0,16,1.0,3.0,24,25.0,05:39:53
Will Richter,Yale,5,6,11,-2,41,25330.0,14,11.0,11.0,30,50.0,07:02:10
Will Schimek,Alaska-Anchorage,1,2,3,-9,32,34705.0,27,0.0,0.0,32,,09:38:25
Will Skahan,Boston College,2,5,7,6,33,20488.0,10,0.0,0.0,30,,05:41:28
Will Staring,Air Force,1,8,9,-8,81,52909.0,26,0.0,0.0,39,,14:41:49
Will Svenddal,Augustana,1,7,8,2,16,20804.0,8,0.0,0.0,33,,05:46:44
Will Traeger,Boston College,0,0,0,-1,0,1035.0,0,0.0,0.0,4,,00:17:15
Will Vote,Boston College,8,5,13,6,46,30170.0,12,5.0,19.0,37,20.833333333333336,08:22:50
Will Zapernick,Vermont,3,14,17,-11,55,35992.0,10,199.0,205.0,35,49.257425742574256,09:59:52
William Ahlrik,Lake Superior,6,6,12,1,42,26920.0,24,237.0,175.0,35,57.52427184466019,07:28:40
William Dineen,Yale,6,12,18,-1,59,33622.0,24,289.0,305.0,30,48.65319865319865,09:20:22
William Elias,Holy Cross,5,7,12,4,38,32156.0,16,0.0,0.0,32,,08:55:56
William Gramme,Wisconsin,0,0,0,0,0,0.0,0,0.0,0.0,8,,00:00:00
William Hallén,Miami,2,0,2,-4,9,6336.0,4,19.0,18.0,9,51.35135135135135,01:45:36
William Lawson-Body,Alaska,2,3,5,5,47,26190.0,2,175.0,185.0,31,48.61111111111111,07:16:30
William Smith,Ohio State,3,3,6,-2,52,34701.0,29,0.0,1.0,36,0.0,09:38:21
William Troutwine,Holy Cross,2,2,4,3,24,22695.0,0,0.0,0.0,31,,06:18:15
William Whitelaw,Michigan,11,7,18,7,97,31202.0,30,5.0,7.0,35,41.66666666666667,08:40:02
Willyam Gendron,Sacred Heart,0,0,0,0,2,1334.0,2,0.0,0.0,3,,00:22:14
Wilson Dahlheimer,Lake Superior,0,3,3,-7,20,12243.0,2,40.0,49.0,20,44.9438202247191,03:24:03
Wolfgang Govedaris,Northern Michigan,0,0,0,-9,41,24428.0,20,0.0,1.0,30,0.0,06:47:08
Wyatt Schingoethe,Western Michigan,5,6,11,10,32,13265.0,2,1.0,3.0,31,25.0,03:41:05
